"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,Moderate,"18,668",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,High,"1,757",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,Very high,364,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,High/very high,"2,121",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Number of hospitalizations,Total,"61,806",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Very low,48.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Low,17.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,30.2,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,High,2.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,0.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,3.4,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,0.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Family medicine,Total hospitalization rate,Total,23,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,Low,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,High,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,138,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Number of hospitalizations,Total,"2,104",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,†,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,6.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,General pediatrics,Total hospitalization rate,Total,1.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"6,400",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"2,000",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"5,304",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"2,901",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,102,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"3,003",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"16,707",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,38.3,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,12,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,31.7,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,17.4,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,0.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,18,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,1.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,6.2,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"14,590",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"8,477",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"1,230",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,178,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,30,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,208,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"24,505",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,59.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,34.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,0.7,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,0.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,0.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,0.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,14.2,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,"5,055",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,Low,"1,010",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,"2,690",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,High,491,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,45,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,536,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"9,291",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,54.4,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,10.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,29,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,5.3,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,0.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,5.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.3,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Psychiatry,Total hospitalization rate,Total,4.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,Very low,"16,862",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,Low,"8,236",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"13,300",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,High,"4,266",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,Very high,453,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"4,719",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Number of hospitalizations,Total,"43,117",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,39.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,Low,19.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,30.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,High,9.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,1.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,11,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,1.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,All levels,Surgery,Total hospitalization rate,Total,16.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,Very low,"38,739",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,Low,"14,324",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"24,060",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,High,"2,845",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,Very high,473,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"3,318",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Number of hospitalizations,Total,"80,441",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,48.2,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,Low,17.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,29.9,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,High,3.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,0.6,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,4.1,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Percentage of hospitalizations,Total,47.5,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.4,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,General,All service provider groups,Total hospitalization rate,Total,30.8,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"32,834",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"14,834",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"13,959",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"3,163",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,352,,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"3,515",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"65,142",,
Regional,Quebec,2412,Chaudière-Appalaches Region,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,50.4,,
